🔍 Scanning for 'lines' format chapters...
📊 Need translate: 12058, Done: 355, Failed: 5
  ⏳ 5818 done, 0 failed, 6240 left (~13.2/s, ETA 0.1h)
  ⏳ 5842 done, 0 failed, 6216 left (~14.4/s, ETA 0.1h)
  ⏳ 5872 done, 0 failed, 6186 left (~18.0/s, ETA 0.1h)
  ⏳ 5902 done, 0 failed, 6156 left (~18.0/s, ETA 0.1h)
  ⏳ 5927 done, 0 failed, 6131 left (~15.0/s, ETA 0.1h)
  ⏳ 5959 done, 0 failed, 6099 left (~19.2/s, ETA 0.1h)
  ⏳ 5977 done, 0 failed, 6081 left (~10.8/s, ETA 0.2h)
  ⏳ 5993 done, 0 failed, 6065 left (~9.6/s, ETA 0.2h)
  ⏳ 6015 done, 0 failed, 6043 left (~13.2/s, ETA 0.1h)
  ⏳ 6042 done, 0 failed, 6016 left (~16.2/s, ETA 0.1h)
  ⏳ 6060 done, 0 failed, 5998 left (~10.8/s, ETA 0.2h)
  ⏳ 6079 done, 0 failed, 5979 left (~11.4/s, ETA 0.1h)
  ⏳ 6118 done, 0 failed, 5940 left (~23.4/s, ETA 0.1h)
  ⏳ 6129 done, 0 failed, 5929 left (~6.6/s, ETA 0.3h)
  ⏳ 6148 done, 0 failed, 5910 left (~11.4/s, ETA 0.1h)
  ⏳ 6177 done, 0 failed, 5881 left (~17.4/s, ETA 0.1h)
  ⏳ 6208 done, 0 failed, 5850 left (~18.6/s, ETA 0.1h)
  ⏳ 6244 done, 0 failed, 5814 left (~21.6/s, ETA 0.1h)
  ⏳ 6258 done, 0 failed, 5800 left (~8.4/s, ETA 0.2h)
  ⏳ 6281 done, 0 failed, 5777 left (~13.8/s, ETA 0.1h)
  ⏳ 6307 done, 0 failed, 5751 left (~15.6/s, ETA 0.1h)
  ⏳ 6335 done, 0 failed, 5723 left (~16.8/s, ETA 0.1h)
  ⏳ 6358 done, 0 failed, 5700 left (~13.8/s, ETA 0.1h)
  ⏳ 6385 done, 0 failed, 5673 left (~16.2/s, ETA 0.1h)
  ⏳ 6419 done, 0 failed, 5639 left (~20.4/s, ETA 0.1h)
  ⏳ 6457 done, 0 failed, 5601 left (~22.8/s, ETA 0.1h)
  ⏳ 6484 done, 0 failed, 5574 left (~16.2/s, ETA 0.1h)
  ⏳ 6503 done, 0 failed, 5555 left (~11.4/s, ETA 0.1h)
  ⏳ 6525 done, 0 failed, 5533 left (~13.2/s, ETA 0.1h)
  ⏳ 6544 done, 0 failed, 5514 left (~11.4/s, ETA 0.1h)
  ⏳ 6580 done, 0 failed, 5478 left (~21.6/s, ETA 0.1h)
  ⏳ 6615 done, 0 failed, 5443 left (~21.0/s, ETA 0.1h)
  ⏳ 6636 done, 0 failed, 5422 left (~12.6/s, ETA 0.1h)
  ⏳ 6653 done, 0 failed, 5405 left (~10.2/s, ETA 0.1h)
  ⏳ 6672 done, 0 failed, 5386 left (~11.4/s, ETA 0.1h)
  ⏳ 6694 done, 0 failed, 5364 left (~13.2/s, ETA 0.1h)
  ⏳ 6726 done, 0 failed, 5332 left (~19.2/s, ETA 0.1h)
  ⏳ 6751 done, 0 failed, 5307 left (~14.9/s, ETA 0.1h)
  ⏳ 6767 done, 0 failed, 5291 left (~9.6/s, ETA 0.2h)
  ⏳ 6798 done, 0 failed, 5260 left (~18.6/s, ETA 0.1h)
  ⏳ 6818 done, 0 failed, 5240 left (~12.0/s, ETA 0.1h)
  ⏳ 6854 done, 0 failed, 5204 left (~21.6/s, ETA 0.1h)
  ⏳ 6884 done, 0 failed, 5174 left (~18.0/s, ETA 0.1h)
  ⏳ 6918 done, 0 failed, 5140 left (~20.3/s, ETA 0.1h)
  ⏳ 6941 done, 0 failed, 5117 left (~13.8/s, ETA 0.1h)
  ⏳ 6941 done, 0 failed, 5117 left (~0.0/s, ETA 0.0h)
  ⏳ 6941 done, 0 failed, 5117 left (~0.0/s, ETA 0.0h)
  ⏳ 6943 done, 0 failed, 5115 left (~1.2/s, ETA 1.2h)
  ⏳ 6958 done, 0 failed, 5100 left (~9.0/s, ETA 0.2h)
  ⏳ 6974 done, 0 failed, 5084 left (~9.6/s, ETA 0.1h)
  ⏳ 6992 done, 0 failed, 5066 left (~10.7/s, ETA 0.1h)
  ⏳ 7014 done, 0 failed, 5044 left (~13.2/s, ETA 0.1h)
  ⏳ 7030 done, 0 failed, 5028 left (~9.6/s, ETA 0.1h)
  ⏳ 7041 done, 0 failed, 5017 left (~6.6/s, ETA 0.2h)
  ⏳ 7058 done, 0 failed, 5000 left (~10.2/s, ETA 0.1h)
  ⏳ 7072 done, 0 failed, 4986 left (~8.4/s, ETA 0.2h)
  ⏳ 7094 done, 0 failed, 4964 left (~13.2/s, ETA 0.1h)
  ⏳ 7115 done, 0 failed, 4943 left (~12.6/s, ETA 0.1h)
  ⏳ 7140 done, 0 failed, 4918 left (~15.0/s, ETA 0.1h)
  ⏳ 7153 done, 0 failed, 4905 left (~7.8/s, ETA 0.2h)
  ⏳ 7175 done, 0 failed, 4883 left (~13.2/s, ETA 0.1h)
  ⏳ 7203 done, 0 failed, 4855 left (~16.8/s, ETA 0.1h)
  ⏳ 7219 done, 0 failed, 4839 left (~9.6/s, ETA 0.1h)
  ⏳ 7238 done, 0 failed, 4820 left (~11.4/s, ETA 0.1h)
  ⏳ 7271 done, 0 failed, 4787 left (~19.8/s, ETA 0.1h)
  ⏳ 7288 done, 0 failed, 4770 left (~10.2/s, ETA 0.1h)
  ⏳ 7311 done, 0 failed, 4747 left (~13.8/s, ETA 0.1h)
  ⏳ 7322 done, 0 failed, 4736 left (~6.6/s, ETA 0.2h)
  ⏳ 7330 done, 0 failed, 4728 left (~4.8/s, ETA 0.3h)
  ⏳ 7350 done, 0 failed, 4708 left (~12.0/s, ETA 0.1h)
  ⏳ 7373 done, 0 failed, 4685 left (~13.8/s, ETA 0.1h)
  ⏳ 7397 done, 0 failed, 4661 left (~14.4/s, ETA 0.1h)
  ⏳ 7427 done, 0 failed, 4631 left (~18.0/s, ETA 0.1h)
  ⏳ 7461 done, 0 failed, 4597 left (~20.3/s, ETA 0.1h)
  ⏳ 7484 done, 0 failed, 4574 left (~13.8/s, ETA 0.1h)
  ⏳ 7500 done, 0 failed, 4558 left (~9.6/s, ETA 0.1h)
